sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Condo/Co-op,555 Innes Ave #408,San Francisco,CA,94124,859000,2,2.0,Hunters Point,1212,,2016,5,709,530,Active,,,http://www.redfin.com/CA/San-Francisco/555-Innes-Ave-94124/unit-408/home/107404760,San Francisco MLS,483947,N,Y,37.7275889,-122.369723
MLS Listing,,Multi-Family (2-4 Unit),1350 Shotwell St,SAN FRANCISCO,CA,94110,1148000,4,,SAN FRANCISCO,1752,2626,1900,5,655,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1350-Shotwell-St-94110/home/1868655,MLSListings,ML81748397,N,Y,37.7475261,-122.4150294
MLS Listing,,Single Family Residential,2287 37th Ave,SAN FRANCISCO,CA,94116,1688000,4,4.0,SAN FRANCISCO,2115,2060,1941,5,798,,Active,April-28-2019 01:30 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2287-37th-Ave-94116/home/1493717,MLSListings,ML81748242,N,Y,37.7443426,-122.4953358
MLS Listing,,Condo/Co-op,520 Natoma St #9,San Francisco,CA,94103,549000,1,1.0,South of Market,,,1911,5,,325,Active,,,http://www.redfin.com/CA/San-Francisco/520-Natoma-St-94103/unit-9/home/12228608,San Francisco MLS,483744,N,Y,37.779856,-122.4083003
MLS Listing,,Condo/Co-op,15 Red Rock Way Unit 106N,San Francisco,CA,94131,499000,0,1.0,Diamond Heights,474,,1972,5,1053,476,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/15-Red-Rock-Way-94131/unit-106N/home/958723,San Francisco MLS,483801,N,Y,37.7464876,-122.4408406
MLS Listing,,Multi-Family (5+ Unit),912 Jackson St,San Francisco,CA,94133,2995000,3,,Nob Hill,4400,1197,1917,6,681,,Active,,,http://www.redfin.com/CA/San-Francisco/912-Jackson-St-94133/home/109079135,San Francisco MLS,483914,N,Y,37.7956779,-122.4102946
MLS Listing,,Single Family Residential,1542 26th Ave,San Francisco,CA,94122,1195000,2,1.0,Central Sunset,1640,2996,1932,6,729,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1542-26th-Ave-94122/home/2036388,San Francisco MLS,483890,N,Y,37.7586819,-122.4839836
MLS Listing,,Single Family Residential,212 Sagamore St,SAN FRANCISCO,CA,94112,1095000,4,2.0,SAN FRANCISCO,1501,3123,1967,6,730,,Active,,,http://www.redfin.com/CA/San-Francisco/212-Sagamore-St-94112/home/1027728,MLSListings,ML81748123,N,Y,37.7116237,-122.4594401
MLS Listing,,Condo/Co-op,201 Harrison St #901,San Francisco,CA,94105,560000,0,1.0,South Beach,432,,1991,6,1296,550,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-901/home/724525,Bridge MLS,40862042,N,Y,37.7875875,-122.3904715
MLS Listing,,Single Family Residential,3560 Baker St,San Francisco,CA,94123,8998000,5,4.5,Marina,6055,3898,1929,6,1486,,Active,,,http://www.redfin.com/CA/San-Francisco/3560-Baker-St-94123/home/582797,San Francisco MLS,482170,N,Y,37.8041117,-122.4467902
